Year,Week,Payer,Group_EM,Group_EM2,Payment Amount*,Expected Payments,Missed Revenue (RF),% Error (RF),Performance Diagnostic (RF)
2025,1,1-SELF PAY,Existing E/M Code,Existing Level 3,140.0,464.8070185257211,-324.8070185257211,-69.87997288766138,Under Performed
2025,1,1-SELF PAY,Existing E/M Code,Existing Level 4,921.0,1069.5382756223967,-148.53827562239667,-13.888074789652363,Under Performed
2025,1,1-SELF PAY,New E/M Code,New Level 3,513.0,814.7684027169503,-301.7684027169503,-37.03732271780111,Under Performed
2025,1,1-SELF PAY,New E/M Code,New Level 4,1457.78,1294.965781504416,162.81421849558387,12.572858744301008,Over Performed
2025,1,1-SELF PAY,Non E/M Code,Non E/M Code,629.0,739.5444688848249,-110.54446888482494,-14.947643250110074,Under Performed
2025,1,13-TRICARE,Existing E/M Code,Existing Level 4,103.61,-81.49006455598067,185.10006455598068,-227.14433417686615,Under Performed
2025,1,13-TRICARE,New E/M Code,New Level 4,356.03999999999996,337.6629388121362,18.377061187863774,5.442427662482712,Over Performed
2025,1,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,771.65,932.6815956565279,-161.03159565652788,-17.265441540440758,Under Performed
2025,1,15-UNITED HEALTHCARE,New E/M Code,New Level 4,1905.6599999999999,2385.4377752760224,-479.77777527602257,-20.11277679295184,Under Performed
2025,1,17-AETNA,Existing E/M Code,Existing Level 4,958.9900000000001,863.5387340907109,95.45126590928919,11.053501382285702,Over Performed
2025,1,17-AETNA,New E/M Code,New Level 3,169.3,355.79906565356714,-186.49906565356713,-52.416963296681814,Under Performed
2025,1,17-AETNA,New E/M Code,New Level 4,1501.8199999999997,1484.160070290543,17.65992970945672,1.1898938708140536,Average Performance
2025,1,18-CIGNA,Existing E/M Code,Existing Level 4,562.6600000000001,623.198506375297,-60.53850637529695,-9.714161018678693,Under Performed
2025,1,18-CIGNA,New E/M Code,New Level 4,1209.65,1651.367121905364,-441.7171219053639,-26.748571898155888,Under Performed
2025,1,2-BCBS,Existing E/M Code,Existing Level 4,3375.38,3531.599099247812,-156.21909924781176,-4.423466391785085,Under Performed
2025,1,2-BCBS,New E/M Code,New Level 3,315.0,738.187273822823,-423.18727382282304,-57.32790158129912,Under Performed
2025,1,2-BCBS,New E/M Code,New Level 4,3300.77,3453.6444843388745,-152.87448433887448,-4.4264684750300525,Under Performed
2025,1,20-WORK COMP,Existing E/M Code,Existing Level 4,143.03,100.21240509625852,42.81759490374148,42.72684091616527,Over Performed
2025,1,3-MEDICARE,Existing E/M Code,Existing Level 4,166.79999999999998,67.25586319434069,99.54413680565929,148.00811717785749,Over Performed
2025,1,3-MEDICARE,New E/M Code,New Level 3,87.91,-116.89486866824973,204.80486866824972,-175.20432761637343,Under Performed
2025,1,4-MEDICAID,Existing E/M Code,Existing Level 3,188.48999999999998,-46.14970093480895,234.63970093480893,-508.431682507024,Under Performed
2025,1,4-MEDICAID,Existing E/M Code,Existing Level 4,1188.19,1567.5434475029901,-379.3534475029901,-24.20050609169903,Under Performed
2025,1,4-MEDICAID,New E/M Code,New Level 4,942.51,824.8738428076279,117.63615719237214,14.261108922059314,Over Performed
2025,1,4-MEDICAID,Non E/M Code,Non E/M Code,0.0,-149.95452554553765,149.95452554553765,-100.0,Under Performed
2025,1,5-COMMERCIAL,Existing E/M Code,Existing Level 4,923.0,1441.7227747880502,-518.7227747880502,-35.97937022700556,Under Performed
2025,1,5-COMMERCIAL,New E/M Code,New Level 4,304.1,288.7808255750542,15.3191744249458,5.304775479618657,Over Performed
2025,1,9-EPS,Non E/M Code,Non E/M Code,520.0,694.9708882107393,-174.9708882107393,-25.17672195755084,Under Performed
2025,2,1-SELF PAY,Existing E/M Code,Existing Level 3,1098.0,1003.6975912655894,94.30240873441062,9.395500154135288,Over Performed
2025,2,1-SELF PAY,Existing E/M Code,Existing Level 4,403.0,1040.855317670147,-637.8553176701471,-61.281842619387675,Under Performed
2025,2,1-SELF PAY,New E/M Code,New Level 3,833.0,907.7497449973007,-74.7497449973007,-8.23462032451719,Under Performed
2025,2,1-SELF PAY,New E/M Code,New Level 4,2109.0,1618.427265141644,490.57273485835594,30.311694904337962,Over Performed
2025,2,1-SELF PAY,Non E/M Code,Non E/M Code,350.0,547.4106865890933,-197.4106865890933,-36.06262928828736,Under Performed
2025,2,12-HUMANA,Existing E/M Code,Existing Level 4,172.14000000000001,0.22531286134665152,171.91468713865336,76300.43225724109,Over Performed
2025,2,13-TRICARE,Existing E/M Code,Existing Level 3,112.03999999999999,-90.00957002930897,202.04957002930897,-224.47565293725708,Under Performed
2025,2,13-TRICARE,Existing E/M Code,Existing Level 4,192.96,-12.39357589128258,205.3535758912826,-1656.9356390170217,Under Performed
2025,2,13-TRICARE,New E/M Code,New Level 4,802.86,1039.4089375417955,-236.54893754179545,-22.758024199910597,Under Performed
2025,2,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 3,160.78,-82.1186051935141,242.8986051935141,-295.78997916625445,Under Performed
2025,2,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,1582.8099999999997,2066.13611206175,-483.3261120617501,-23.392752744612263,Under Performed
2025,2,15-UNITED HEALTHCARE,New E/M Code,New Level 3,385.0,863.7239061654511,-478.7239061654511,-55.42557092008391,Under Performed
2025,2,15-UNITED HEALTHCARE,New E/M Code,New Level 4,1791.42,2704.0913084141807,-912.6713084141807,-33.75149742814781,Under Performed
2025,2,17-AETNA,Existing E/M Code,Existing Level 4,2626.5299999999997,2424.597281742662,201.9327182573379,8.328505512148402,Over Performed
2025,2,17-AETNA,New E/M Code,New Level 3,634.3,706.2263058713338,-71.92630587133385,-10.184597383779412,Under Performed
2025,2,17-AETNA,New E/M Code,New Level 4,4455.2699999999995,4343.513834213837,111.75616578616246,2.5729437052982242,Over Performed
2025,2,18-CIGNA,Existing E/M Code,Existing Level 4,618.5600000000001,737.278603418817,-118.718603418817,-16.10227163358733,Under Performed
2025,2,18-CIGNA,New E/M Code,New Level 4,767.4300000000001,870.3001269283493,-102.87012692834924,-11.820074908114819,Under Performed
2025,2,2-BCBS,Existing E/M Code,Existing Level 3,962.3600000000001,810.1427198904807,152.21728010951938,18.78894624024973,Over Performed
2025,2,2-BCBS,Existing E/M Code,Existing Level 4,3210.07,3610.2401751907537,-400.1701751907535,-11.084308959295479,Under Performed
2025,2,2-BCBS,New E/M Code,New Level 3,627.5999999999999,629.6908057456874,-2.090805745687476,-0.33203688645437957,Average Performance
2025,2,2-BCBS,New E/M Code,New Level 4,8464.61,8887.290114020201,-422.68011402020056,-4.75600670842734,Under Performed
2025,2,3-MEDICARE,Existing E/M Code,Existing Level 4,534.4499999999999,473.9308507320377,60.519149267962234,12.7696158995524,Over Performed
2025,2,3-MEDICARE,New E/M Code,New Level 4,513.32,504.59806220257155,8.721937797428495,1.7284921308173915,Average Performance
2025,2,4-MEDICAID,Existing E/M Code,Existing Level 4,2670.5300000000007,3397.3738448055265,-726.8438448055258,-21.394285056878456,Under Performed
2025,2,4-MEDICAID,New E/M Code,New Level 3,426.77000000000004,306.4577560042585,120.31224399574154,39.25899790053599,Over Performed
2025,2,4-MEDICAID,New E/M Code,New Level 4,1647.68,1963.3509795591854,-315.6709795591853,-16.078173635060413,Under Performed
2025,2,4-MEDICAID,New E/M Code,New Level 5,171.26,85.65289968841898,85.60710031158101,99.94652909941803,Over Performed
2025,2,5-COMMERCIAL,Existing E/M Code,Existing Level 4,329.62,329.2501980669458,0.36980193305419107,0.11231638894230822,Average Performance
2025,2,9-EPS,New E/M Code,New Level 4,0.0,147.50133345164636,-147.50133345164636,-100.0,Under Performed
2025,2,9-EPS,Non E/M Code,Non E/M Code,930.0,978.1663901983002,-48.16639019830018,-4.924151011622428,Under Performed
2025,3,1-SELF PAY,Existing E/M Code,Existing Level 3,200.0,505.25049889287175,-305.25049889287175,-60.41567491011899,Under Performed
2025,3,1-SELF PAY,Existing E/M Code,Existing Level 4,497.0,754.8032024017357,-257.8032024017357,-34.15502233978636,Under Performed
2025,3,1-SELF PAY,New E/M Code,New Level 3,508.0,808.3977832783762,-300.3977832783762,-37.15964955521564,Under Performed
2025,3,1-SELF PAY,New E/M Code,New Level 4,1505.0,1407.9817424692264,97.01825753077355,6.890590595346022,Over Performed
2025,3,1-SELF PAY,Non E/M Code,Non E/M Code,1630.0,1226.76233994887,403.23766005113,32.87007164467866,Over Performed
2025,3,12-HUMANA,Existing E/M Code,Existing Level 4,310.64,234.59303234721267,76.04696765278732,32.41655001084301,Over Performed
2025,3,12-HUMANA,New E/M Code,New Level 4,513.5699999999999,538.3420815384161,-24.77208153841616,-4.601550275918459,Under Performed
2025,3,13-TRICARE,Existing E/M Code,Existing Level 3,91.83,-133.60939355431958,225.43939355431957,-168.73019744877894,Under Performed
2025,3,13-TRICARE,Existing E/M Code,Existing Level 4,198.63,-16.423661722483985,215.05366172248398,-1309.4136091957837,Under Performed
2025,3,13-TRICARE,New E/M Code,New Level 4,363.84999999999997,313.48067522932956,50.3693247706704,16.0677607108707,Over Performed
2025,3,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,1214.1200000000001,1298.5773846769537,-84.45738467695355,-6.503839176127649,Under Performed
2025,3,15-UNITED HEALTHCARE,New E/M Code,New Level 4,2286.82,2356.6911957172615,-69.87119571726134,-2.9648006427077083,Under Performed
2025,3,17-AETNA,Existing E/M Code,Existing Level 4,1550.13,1586.0323238393162,-35.90232383931607,-2.263656503065911,Average Performance
2025,3,17-AETNA,New E/M Code,New Level 4,4323.5,3338.2095596782633,985.2904403217367,29.515535879559913,Over Performed
