Year,Week,Payer,Group_EM,Group_EM2,Visit Count,Avg. Charge E/M Weight,Charge Amount,Charge Billed Balance,Zero Balance - Collection * Charges,Payment per Visit,NRV Zero Balance*,Zero Balance Collection Rate,Collection Rate*,Payment Amount*,% of Visits w Radiology,Denial %,Procedure per Visit,Avg. Payment per Visit By Payor,Avg. Payments By Payor,NRV Gap ($),NRV Gap (%),NRV Gap Sum ($),Above NRV Benchmark,Payment_SD,Charge_SD,Invoice_Count,Payment_CV,Charge_CV,LowPayment_Rate,HighCharge_Rate,Expected Payments,Missed Revenue (RF),% Error (RF),Performance Diagnostic (RF),% Error,Performance Diagnostic
2025,1,1-SELF PAY,Existing E/M Code,Existing Level 3,2,3.0,140.0,0.0,0.0,70.0,70.0,1.0,1.0,140.0,0.0,0.0,0.0,178.34,178.34,0.0,0.0,0.0,0,28.284271247461902,28.284271247461902,2,0.48790466492750034,0.25191283062105513,0.1,0.1,464.8070185257211,-324.8070185257211,-69.87997288766138,Under Performed,-69.87997288766138,Under Performed
2025,1,1-SELF PAY,Existing E/M Code,Existing Level 4,4,4.0,921.0,0.0,0.0,230.25,230.25,1.0,1.0,921.0,0.0,0.0,0.0,178.34,178.34,0.0,0.0,0.0,0,69.0862986898753,69.0862986898753,4,1.1917410605510854,0.6153146003950838,0.1,0.1,1069.5382756223967,-148.53827562239667,-13.888074789652363,Under Performed,-13.888074789652363,Under Performed
2025,1,1-SELF PAY,New E/M Code,New Level 3,3,3.0,513.0,0.0,0.0,171.0,171.0,1.0,1.0,513.0,0.0,0.0,0.0,178.34,178.34,0.0,0.0,0.0,0,84.1843215806839,84.1843215806839,3,1.4521824816914206,0.7497845907981908,0.1,0.1,814.7684027169503,-301.7684027169503,-37.03732271780111,Under Performed,-37.03732271780111,Under Performed
2025,1,1-SELF PAY,New E/M Code,New Level 4,8,4.0,1662.0,0.0,0.0,182.2225,182.2225,0.9238633345757816,0.9238633345757816,1457.78,0.25,0.0,0.0,178.34,178.34,0.0,0.0,0.0,0,76.21452087927301,91.43264499853743,8,1.3147031417876296,0.8143415190454483,0.1,0.1,1294.965781504416,162.81421849558387,12.572858744301008,Over Performed,12.572858744301008,Over Performed
2025,1,1-SELF PAY,Non E/M Code,Non E/M Code,7,,629.0,0.0,0.0,89.85714285714286,89.85714285714286,1.0,1.0,629.0,0.14285714285714285,0.0,0.0,178.34,178.34,0.0,0.0,0.0,0,37.48523518857601,37.48523518857601,7,0.6466216136310005,0.3338608804954639,0.1,0.1,739.5444688848249,-110.54446888482494,-14.947643250110074,Under Performed,-14.947643250110074,Under Performed
2025,1,13-TRICARE,Existing E/M Code,Existing Level 4,1,4.0,273.0,0.0,0.0,103.61,103.61,0.37952380952380954,0.37952380952380954,103.61,0.0,0.0,0.0,153.21666666666667,153.21666666666667,0.0,0.0,0.0,0,,,1,,,0.1,0.1,-81.49006455598067,185.10006455598068,-227.14433417686615,Under Performed,-227.14433417686615,Under Performed
2025,1,13-TRICARE,New E/M Code,New Level 4,2,4.0,1067.0,0.0,0.0,178.01999999999998,178.01999999999998,0.33321770679598006,0.33321770679598006,356.03999999999996,0.5,0.0,0.0,153.21666666666667,153.21666666666667,0.0,0.0,0.0,0,31.890515831513298,9.192388155425117,2,0.5501125097057568,0.0818716699518429,0.1,0.1,337.6629388121362,18.377061187863774,5.442427662482712,Over Performed,5.442427662482712,Over Performed
2025,1,15-UNITED HEALTHCARE,Existing E/M Code,Existing Level 4,7,4.0,2584.0,0.0,0.0,110.23571428571428,110.23571428571428,0.3053538396534394,0.3053538396534394,771.65,0.14285714285714285,0.14285714285714285,0.0,140.91105263157894,140.91105263157894,0.0,0.0,0.0,0,30.55429531023032,138.7941264024149,7,0.5270626591368005,1.2361648263695804,0.1,0.1,932.6815956565279,-161.03159565652788,-17.265441540440758,Under Performed,-17.265441540440758,Under Performed
2025,1,15-UNITED HEALTHCARE,New E/M Code,New Level 4,12,4.0,5166.0,-116.8,0.0,158.80499999999998,156.39125,0.3961937080918588,0.385913020499653,1905.6599999999999,0.08333333333333333,0.08333333333333333,0.0,140.91105263157894,140.91105263157894,-2.4137499999999648,-1.5199458455338088,-28.964999999999577,1,33.26600790323632,125.0101814035379,12,0.5738397958886976,1.1133986227996853,0.1,0.1,2385.4377752760224,-479.77777527602257,-20.11277679295184,Under Performed,-20.11277679295184,Under Performed
2025,1,17-AETNA,Existing E/M Code,Existing Level 4,6,4.0,1654.0,0.0,0.0,159.83166666666668,159.83166666666668,0.5719684482834366,0.5719684482834366,958.9900000000001,0.0,0.0,0.0,219.17583333333332,219.17583333333332,0.0,0.0,0.0,0,50.101020515221705,50.926090235425164,6,0.864244350265825,0.45357136591668196,0.1,0.1,863.5387340907109,95.45126590928919,11.053501382285702,Over Performed,11.053501382285702,Over Performed
